"","Date","Station","Total Rides","Usertype","Gender","Temp_Max","Temp_Avg","Temp_Min","Dew_Max","Dew_Avg","Dew_Min","Hum_Max","Hum_Avg","Hum_Min","Wind_Max","Wind_Avg","Wind_Min","Pressure_Max","Pressure_Avg","Pressure_Min","Precipitation_Total","is_weekend","is_holiday"
"31","2018-10-01","Madison Ave & E 120 St",11,"Subscriber",1,78,71.5,65,66,61.9,58,84,72.2,60,14,7.3,3,30.3,30.2,30.2,0,0,0
"32","2018-10-01","Park Ave & E 124 St",110,"Subscriber",1,78,71.5,65,66,61.9,58,84,72.2,60,14,7.3,3,30.3,30.2,30.2,0,0,0
"33","2018-10-01","E 118 St & Madison Ave",10,"Subscriber",2,78,71.5,65,66,61.9,58,84,72.2,60,14,7.3,3,30.3,30.2,30.2,0,0,0
"34","2018-10-01","Frederick Douglass Blvd & W 129 St",23,"Subscriber",2,78,71.5,65,66,61.9,58,84,72.2,60,14,7.3,3,30.3,30.2,30.2,0,0,0
"35","2018-10-01","Adam Clayton Powell Blvd & W 123 St",27,"Customer",0,78,71.5,65,66,61.9,58,84,72.2,60,14,7.3,3,30.3,30.2,30.2,0,0,0
"36","2018-10-01","Frederick Douglass Blvd & W 112 St",36,"Subscriber",1,78,71.5,65,66,61.9,58,84,72.2,60,14,7.3,3,30.3,30.2,30.2,0,0,0
"37","2018-10-01","5 Ave & E 126 St",12,"Subscriber",1,78,71.5,65,66,61.9,58,84,72.2,60,14,7.3,3,30.3,30.2,30.2,0,0,0
"38","2018-10-01","Adam Clayton Powell Blvd & W 115 St",19,"Subscriber",1,78,71.5,65,66,61.9,58,84,72.2,60,14,7.3,3,30.3,30.2,30.2,0,0,0
"39","2018-10-01","W 110 St & Amsterdam Ave",47,"Customer",0,78,71.5,65,66,61.9,58,84,72.2,60,14,7.3,3,30.3,30.2,30.2,0,0,0
"40","2018-10-01","E 115 St & Lexington Ave",3,"Subscriber",1,78,71.5,65,66,61.9,58,84,72.2,60,14,7.3,3,30.3,30.2,30.2,0,0,0
